Room Id:, 628fb1639230c4e1882ac952
Started At:, 5/26/2022, 12:58:22 PM

Participants
"colorCode","nickname","optionType","receiptCode","participantType"
"#CBAF9B","ANONYMIZED",,"2CC4643124745454408","Human"
"#B86EC1","ANONYMIZED",,"2CC3409228195437274","Human"

Messages
"time","question","qid","participantCode","message"
"5/26/2022, 12:58:42 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","I don't think that's a trait related to party"
"5/26/2022, 12:58:48 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","It depends on the person"
"5/26/2022, 12:59:23 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","What do you think?"
"5/26/2022, 1:01:25 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","I would feel like the prompt is a script reaching for something else, I believe."
"5/26/2022, 1:01:47 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Like Big Brother would be watching me if I discussed the prompt about hypocrisy. "
"5/26/2022, 12:59:57 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","I don't know what you mean. They want us to talk about republicans or democrats being hypocrytical"
"5/26/2022, 1:02:10 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Oh, Democrats are more for sure."
"5/26/2022, 1:00:15 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","Ok"
"5/26/2022, 1:00:17 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","Why?"
"5/26/2022, 1:02:18 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","I'm certain of that."
"5/26/2022, 1:00:31 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","I think most politicians are hypocritical"
"5/26/2022, 1:02:33 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Why? You stated."
"5/26/2022, 1:01:09 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","They say things and then do other things. Most people care about themselves, so they're not really being honest when they want to do what's best for the people"
"5/26/2022, 1:01:23 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","But what's your example for democrats?"
"5/26/2022, 1:03:38 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Would you believe them if they ALL said they were all sent to D.C., the nation's capital to NOT have relations with the public regarding hyppcrisy."
"5/26/2022, 1:02:10 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","I really don't understand what you're saying. Who is them?"
"5/26/2022, 1:02:21 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","and what is ""relations regarding hypocrosy""?"
"5/26/2022, 1:04:27 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","I believe I got sidetracked from the prompt on account of a mistake? I don't understand either. Who is them?!"
"5/26/2022, 1:02:49 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","You said ""them"". How should I know what you meant?"
"5/26/2022, 1:05:10 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Simply put and to answer your question, Democrats are good folks to the exact wrong people, I guess."
"5/26/2022, 1:03:36 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","That may be simply put, but it doesn't answer my question in any way"
"5/26/2022, 1:05:38 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","You wouldn't know, because of the lag and delay in the RTT."
"5/26/2022, 1:03:47 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","what's the RTT?"
"5/26/2022, 1:05:50 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Is it supposed to at any point?"
